spotId,x,y,r
1,-7.1153681414139465,6.25206748684032,0.750886
2,-14.050891108672046,2.2634866479302636,0.750811
3,-7.128264620781601,-1.7497025851195822,0.750919
4,-14.063564373324162,-5.737681589211746,0.750837
5,-7.141154815810017,-9.7510361196155,0.750942
6,-14.076270278413025,-13.739240252661,0.750874
7,-7.1540935454606425,-17.752042881782458,0.750978
8,-14.089089612938265,-21.73985295174316,0.750895
9,-7.166359680368729,-25.752902711229925,0.750986
10,-14.101172262822047,-29.7401905850867,0.75091
11,-7.179421924374621,-33.752822156615906,0.751025
12,-14.114193931377642,-37.73996874653074,0.750971
13,-7.192632144777916,-41.75234609114041,0.75107
14,-14.126617520416882,-45.73843324247498,0.750949
15,-7.205174188103593,-49.75031722730901,0.751025
16,-14.139038810026053,-53.73590081902214,0.750966
17,-7.218563740468146,-57.74684321321461,0.751071
18,-14.151689567481785,-61.73162314701509,0.750995
19,-7.231365751343723,-65.74237897400397,0.751101
20,-14.164534623014665,-69.7264110729791,0.751023
21,-7.245074888809789,-73.73703016168574,0.75108
22,-14.176748856456113,-77.71990338409782,0.751003
23,-7.258181063812952,-81.72966355224382,0.751134
24,-14.189978902170322,-85.71217873260407,0.751069
25,-7.272275905873315,-89.72046980700098,0.751121
26,-14.202662678765956,-93.70203088256473,0.751083
27,-7.285792437377459,-97.71044990240877,0.75119
28,-14.2155889808404,-101.69149973190366,0.751073
29,-7.2995323027153,-105.69836142961508,0.751172
30,-14.228765531243425,-109.6789728975965,0.751202
31,-7.313535372536187,-113.68578929212669,0.751327
32,-14.24233616149527,-117.66569724776853,0.751286
33,-7.32783041456973,-121.67226020915965,0.751428
34,-14.256237707345301,-125.6522205967568,0.751407
35,-7.342402281239057,-129.65862801717122,0.751486
36,-14.269706027972045,-133.6375976729243,0.75153
37,-7.357294677853485,-137.6435853660926,0.751767
38,-14.284419791691745,-141.62376529650828,0.751799
39,-7.3725546215978826,-145.63031427463775,0.75193
40,-14.298798013146051,-149.61011227078353,0.751979
41,-7.387416875271325,-153.61635834982988,0.752159
42,-14.313633357736109,-157.59638828629534,0.752262
43,-7.40341114824854,-161.6037154089642,0.752503
44,-14.32898684701844,-165.5853813146051,0.752644
45,-7.419082606616934,-169.59335136921493,0.752841
46,-14.344890132203375,-173.57494193798675,0.75297
47,-7.43594166040981,-177.58360976349135,0.753293
48,-14.361370258711863,-181.56759309690634,0.753478
49,-7.452519712963156,-185.57752765280273,0.753717
50,-14.377714111741868,-189.56219248945774,0.753993
51,-7.469608350050579,-193.57381063818488,0.754406
52,-14.394802567302406,-197.56061694746828,0.754657
53,-7.487263622697248,-201.57427758474927,0.755031
54,-14.41260753133347,-205.5630622236861,0.75541
55,-7.505509426505999,-209.57900823136353,0.755881
56,-14.431261999391864,-213.5706681226765,0.756338
57,-7.523683026773107,-217.5897034543637,0.757052
58,-20.96062489025078,14.277935397967418,0.750634
59,-27.895497167748534,10.2891507385899,0.750521
60,-20.973763770487576,6.27715135105564,0.750675
61,-27.908443970290236,2.2881953201269765,0.750562
62,-20.986192585557806,-1.7246206145022458,0.75071
63,-27.920678606712745,-5.7130608155257985,0.750599
64,-20.99870311725159,-9.726020041140355,0.750744
